frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
471,70.6877,,,54.3634,,,13.05,1.33
472,70.7459,,,54.2788,,,17.86,0.93
473,70.8033,,,54.2063,,,16.03,1.09
474,70.8488,,,54.1353,,,8.97,1.03
475,70.9077,,,54.0464,,,14.70,1.14
476,70.9675,,40.5076,53.9618,,13.4542,15.42,1.04
477,71.0192,,12.8979,53.8884,,40.9905,14.04,1.16
478,71.0805,,,53.7841,,,14.40,1.46
479,71.1303,,,53.7076,,,14.54,1.31
480,71.1917,,,53.6182,,,18.83,3.71
481,71.2445,,,53.5601,,,13.78,1.25
482,71.2983,,,53.4982,,,10.60,0.93
483,71.3434,51.3322,,53.4583,2.1261,,9.89,0.90
484,71.3972,,,53.4256,,,8.17,1.08
485,71.4542,,,53.4023,,,8.23,1.06
486,71.5074,,,53.3914,,,10.34,1.12
487,71.5548,,,53.3934,,,9.64,0.99
488,71.6045,,,53.4059,,,14.15,1.08
489,71.6555,,,53.4283,,,15.48,1.05
